GR	ROPA	PE	CALX	Rt	Rxo	CNC	DT12	ZDEN
44.46	12.212	3.552	202.641	38.989	25.747	11.218	239.377	2.656
44.46	12.212	3.552	202.641	38.989	25.747	11.098	239.377	2.657
48.142	12.863	3.158	206.272	19.765	13.414	14.737	243.37	2.604
48.142	12.863	3.158	206.272	19.765	12.354	14.737	243.37	2.604
48.142	10.821	3.158	206.272	19.326	11.836	15.321	254.684	2.604
52.781	10.821	3.224	206.272	19.111	11.836	15.605	260.21	2.604
55.047	10.821	3.256	206.272	19.111	11.836	15.605	260.21	2.585
55.047	10.821	3.256	206.188	19.111	11.836	15.605	260.21	2.576
55.047	10.821	3.256	206.147	19.111	11.836	15.605	259.884	2.576
55.047	10.821	3.356	206.147	19.111	11.836	15.605	259.724	2.576
55.047	10.821	3.405	206.147	19.111	11.836	15.338	259.724	2.613
51.143	12.011	3.405	206.147	21.876	14.155	15.207	242.4	2.631
49.236	12.011	3.405	205.773	23.226	15.287	15.207	233.939	2.637
49.236	12.011	3.477	205.59	23.226	15.287	15.207	230.726	2.64
52.712	11.264	3.576	204.572	15.239	12.425	13.113	260.449	2.62
52.712	11.264	3.576	204.354	15.239	12.425	13.174	260.449	2.62
52.712	11.264	3.576	204.248	15.239	12.425	13.174	260.449	2.62
52.712	11.264	3.576	204.248	15.239	12.425	13.174	238.142	2.62
52.712	11.264	3.801	204.21	17.558	14.803	13.174	227.248	2.62
38.324	11.264	3.911	204.192	18.69	15.964	13.174	227.248	2.62
31.297	11.264	3.911	204.192	18.136	15.964	12.507	229.404	2.62
34.944	14.391	3.889	203.61	35.076	33.114	10.256	233.455	2.658
34.944	14.391	3.876	203.61	35.076	33.114	10.256	233.455	2.658
35.243	14.391	3.87	203.61	29.534	26.243	10.256	232.547	2.652
35.389	14.391	3.87	203.61	26.828	22.888	10.515	232.104	2.65
32.77	14.391	3.87	203.61	26.828	22.888	10.641	230.236	2.65
31.491	14.391	3.87	203.61	31.536	27.174	10.641	229.324	2.65
30.607	14.391	3.836	203.624	33.835	29.267	10.641	229.324	2.65
36.197	11.549	3.328	204.02	29.065	21.267	13.468	248.012	2.601
36.197	11.549	3.262	204.025	29.065	21.267	13.468	252.109	2.601
36.197	11.53	3.262	204.025	29.065	21.267	13.468	254.111	2.601
39.225	11.53	3.262	204.025	29.065	21.267	13.468	254.111	2.597
40.704	11.53	3.262	203.664	29.065	21.267	14.115	254.111	2.595
40.704	11.53	3.262	203.488	30.943	17.651	14.431	249.33	2.595
40.704	14.202	3.262	203.488	31.86	15.885	14.431	246.996	2.595
44.515	14.202	3.382	203.488	31.86	15.885	14.431	246.996	2.595
46.376	14.202	3.44	203.422	32.558	15.885	14.431	249.429	2.595
46.376	14.202	3.44	203.39	32.898	16.908	13.089	250.618	2.638
46.376	14.261	3.44	203.39	32.898	17.407	12.434	250.618	2.658
46.376	14.261	3.44	203.39	32.898	17.407	12.434	250.618	2.658
43.774	14.261	3.44	203.39	32.898	17.407	12.434	250.307	2.658
42.503	14.261	3.44	203.39	39.168	23.638	11.832	250.155	2.658
64.595	4.085	2.316	222.416	2.672	2.5	28.896	308.827	2.49
64.595	4.085	2.316	221.823	2.64	2.436	28.896	308.827	2.479
65.551	4.085	2.256	221.359	2.615	2.386	29.16	308.269	2.479
66.3	4.085	2.246	221.359	2.615	2.386	29.366	307.832	2.479
66.3	4.085	2.246	221.359	2.5	2.386	29.366	307.832	2.479
66.3	3.818	2.246	221.359	2.375	2.386	29.624	307.832	2.452
64.307	3.818	2.246	221.359	2.349	2.386	29.826	304.544	2.433
62.744	3.818	2.246	221.359	2.349	2.386	29.826	301.966	2.435
62.744	3.818	2.246	221.359	2.349	2.386	30.115	301.966	2.44
62.744	3.818	2.246	220.312	2.349	2.386	30.341	305.882	2.444
62.744	3.832	2.18	219.491	2.277	2.135	30.341	308.952	2.444
62.744	3.832	2.169	219.547	2.22	1.938	29.848	306.623	2.444
64.098	3.832	2.169	219.591	2.22	1.938	29.462	303.995	2.453
65.159	3.832	2.169	219.591	2.22	1.938	29.493	303.367	2.459
65.159	3.602	2.044	219.591	2.22	1.999	29.518	303.367	2.459
62.465	3.602	2.023	219.591	2.22	2.047	29.518	303.914	2.459
60.353	3.602	2.023	219.616	2.22	2.047	29.576	304.342	2.457
60.353	3.602	2.023	219.636	2.22	2.047	29.622	304.342	2.456
60.353	3.602	1.993	219.636	2.22	2.047	29.622	304.189	2.456
60.353	3.602	1.988	219.636	2.22	2.047	29.622	304.068	2.456
60.353	3.602	1.988	219.628	2.22	2.047	29.541	304.068	2.453
59.118	3.602	1.988	219.621	2.165	2.009	29.478	304.068	2.451
58.15	3.602	1.988	219.621	2.121	1.979	29.478	303.315	2.451
58.15	3.602	1.988	219.621	2.121	1.979	29.478	302.724	2.451
58.15	3.602	1.988	219.586	2.121	1.979	29.478	302.724	2.441
58.15	3.602	1.988	219.559	2.121	1.979	29.478	304.742	2.434
58.65	3.602	1.888	219.58	2.121	1.979	29.301	306.323	2.434
59.042	3.602	1.871	219.597	2.039	2.027	29.162	306.323	2.434
59.042	3.602	1.877	219.61	1.976	2.064	29.162	305.256	2.42
59.042	3.416	1.878	219.62	2.015	2.064	29.162	304.42	2.409
59.042	3.416	1.878	219.62	2.045	2.064	29.44	304.42	2.409
58.565	3.416	1.878	219.838	2.046	2.064	29.658	305.809	2.409
58.192	3.416	1.922	220.009	2.047	2.064	29.658	306.899	2.409
55.497	3.416	1.93	220.009	2.024	2.149	29.317	316.848	2.409
53.383	9.755	1.93	220.009	2.005	2.216	29.05	324.648	2.409
52.542	9.755	1.93	220.009	2.005	2.216	29.05	324.648	2.409
51.883	9.755	1.859	220.009	2.009	2.186	28.866	329.16	2.409
51.883	9.755	1.847	220.118	2.012	2.163	28.721	332.698	2.367
50.909	9.755	1.847	220.204	2.012	2.163	28.721	332.698	2.334
50.146	9.755	1.847	220.204	2.0	2.129	28.721	332.698	2.334
50.146	9.755	1.847	220.204	1.991	2.101	28.669	320.882	2.334
50.146	9.755	1.847	220.204	1.991	2.101	28.628	311.619	2.343
49.616	14.86	1.847	219.703	1.897	2.047	28.628	311.619	2.349
49.2	14.86	1.637	219.311	1.823	2.004	28.628	311.619	2.349
49.2	14.86	1.602	219.311	1.823	2.004	29.413	318.468	2.349
47.871	14.86	1.602	219.311	1.823	2.004	30.028	323.838	2.344
46.829	21.756	1.602	219.311	1.823	2.004	29.875	323.838	2.34
46.829	21.756	1.602	218.366	1.803	1.958	29.755	323.838	2.34
46.829	21.756	1.602	217.626	1.787	1.922	29.755	323.838	2.34
49.579	21.756	1.602	217.626	1.787	1.922	29.755	323.838	2.341
51.736	23.871	1.748	218.172	1.787	1.922	29.828	326.52	2.343
51.736	23.871	1.773	218.601	1.787	1.922	29.885	328.622	2.343
51.736	23.871	1.773	218.601	1.787	1.922	29.885	328.622	2.343
51.736	23.871	1.773	218.601	1.879	2.016	29.885	328.622	2.334
51.736	24.573	1.773	218.601	1.952	2.089	29.885	327.432	2.327
51.736	24.573	1.92	219.01	1.952	2.089	30.578	326.499	2.325
55.12	24.573	1.945	219.331	1.952	2.112	31.121	326.499	2.323
57.773	24.573	1.945	219.331	2.061	2.129	31.121	335.508	2.323
67.597	12.954	2.708	222.926	28.481	20.129	23.187	231.547	2.525
68.29	12.954	2.548	222.926	20.367	19.332	23.187	232.442	2.525
68.29	12.954	2.375	222.928	20.367	10.184	23.187	242.726	2.521
68.29	12.954	2.375	222.947	20.097	9.976	23.187	242.726	2.479
68.633	20.454	2.375	222.914	17.003	7.579	23.385	245.263	2.479
72.574	20.454	2.375	222.541	17.003	7.579	25.661	274.409	2.479
72.574	20.454	2.375	222.541	17.003	7.579	25.661	274.409	2.479
72.574	20.454	2.375	222.541	17.003	7.579	25.661	274.409	2.479
72.574	20.454	2.375	222.541	17.003	7.579	25.661	274.409	2.479
72.765	20.454	2.375	222.541	17.003	7.579	25.721	274.409	2.479
74.961	20.454	2.313	222.541	16.966	7.524	26.419	275.807	2.479
74.961	20.454	2.245	222.513	16.543	6.901	26.419	291.86	2.474
74.961	33.049	2.245	222.186	16.543	6.901	26.419	291.86	2.425
74.961	33.049	2.245	222.186	16.543	7.047	26.419	291.86	2.425
74.961	33.049	2.245	222.186	16.543	8.599	26.419	291.86	2.425
74.961	33.049	2.255	222.151	16.543	7.157	26.419	291.86	2.425
74.913	28.822	2.266	221.757	16.424	7.078	26.178	291.86	2.43
74.367	28.822	2.266	221.757	15.063	6.173	23.404	289.758	2.492
74.367	28.822	2.266	221.759	15.063	6.173	23.404	265.613	2.492
74.367	28.822	2.266	221.777	15.063	6.173	23.404	265.613	2.492
74.367	33.191	2.266	221.749	15.063	6.173	23.404	265.613	2.492
74.782	33.191	2.266	221.747	14.62	6.057	23.404	268.575	2.492
79.561	33.191	2.266	221.728	9.519	4.724	23.334	301.283	2.492
79.561	33.191	2.306	221.728	9.718	4.724	22.526	286.149	2.492
79.561	40.698	2.35	221.727	11.994	4.724	22.526	286.149	2.495
79.561	40.698	2.35	221.716	12.06	4.724	22.526	284.929	2.528
79.561	40.698	2.35	221.716	12.824	4.724	22.526	270.915	2.528
78.61	40.698	2.35	221.716	13.065	4.724	22.526	269.588	2.528
67.691	43.941	2.35	221.72	15.838	4.825	22.526	254.342	2.528
67.691	43.941	2.35	221.72	15.838	5.995	22.526	254.342	2.528
67.484	43.941	2.35	221.72	16.059	6.026	22.526	255.692	2.528
65.103	43.941	2.419	221.72	18.6	6.386	22.526	271.207	2.528
65.103	43.941	2.493	221.712	18.6	6.386	22.526	271.207	2.523
65.103	43.941	2.493	221.714	18.6	6.785	22.64	271.207	2.462
65.263	43.941	2.493	221.735	19.716	11.361	23.958	271.207	2.462
67.108	43.941	2.493	221.743	32.543	11.361	23.958	271.207	2.462
67.108	63.561	2.493	221.743	32.543	11.361	23.958	273.078	2.462
67.108	63.561	2.493	221.743	32.543	11.361	23.958	294.569	2.462
67.108	63.561	2.493	221.746	32.543	11.361	23.958	294.569	2.462
67.108	63.561	2.493	221.746	32.543	11.361	23.929	294.569	2.462
67.108	92.296	2.493	221.746	32.543	11.361	23.588	294.569	2.462
66.945	92.296	2.677	221.746	32.543	11.361	23.588	292.826	2.463
65.069	92.296	2.877	221.746	32.543	11.361	23.588	272.795	2.472
65.069	92.296	2.877	221.743	32.543	11.361	23.588	272.795	2.472
65.069	97.65	2.877	221.705	33.235	11.625	23.588	272.795	2.472
56.594	13.719	3.829	208.75	83.827	38.425	10.084	242.553	2.634
54.937	13.719	3.785	208.75	70.157	32.018	10.549	240.957	2.634
54.128	13.719	3.763	208.289	63.481	28.888	10.776	240.957	2.634
54.128	13.719	3.763	208.064	63.481	28.888	10.776	240.957	2.634
54.128	13.719	3.763	208.064	63.481	28.888	10.776	240.957	2.651
54.128	13.719	3.763	208.064	63.481	28.888	10.534	240.957	2.659
46.133	13.719	3.661	208.064	66.281	37.946	10.416	230.926	2.659
42.229	13.235	3.612	208.038	67.648	42.369	10.416	226.026	2.659
31.115	12.176	2.965	205.96	81.301	38.201	18.059	283.986	2.538
37.799	12.176	2.834	206.1	81.301	38.201	18.059	281.995	2.538
41.064	12.176	2.834	206.168	40.134	16.279	18.059	286.861	2.538
41.064	12.176	3.11	206.168	20.028	5.574	18.059	289.712	2.538
41.064	12.176	3.246	206.168	17.828	5.574	18.059	289.712	2.538
44.16	12.176	3.246	206.168	16.754	5.097	18.059	297.253	2.493
45.672	12.176	3.246	206.632	16.754	4.864	18.059	300.936	2.507
45.672	7.62	3.42	206.859	16.754	4.864	18.059	300.936	2.525
47.072	7.62	3.506	206.859	16.754	4.864	21.043	296.513	2.525
47.755	7.62	3.506	206.899	15.037	5.698	22.501	294.354	2.543
47.755	7.62	3.506	206.918	14.198	6.106	22.501	276.693	2.552
47.755	7.62	3.463	206.918	14.198	6.106	22.501	268.067	2.552
47.162	7.62	3.443	206.918	14.64	7.716	22.501	268.067	2.552
46.873	7.62	3.443	206.918	14.856	8.503	19.165	268.067	2.586
46.873	9.495	3.318	206.918	14.856	8.503	17.537	261.953	2.603
46.873	9.495	3.257	206.918	16.697	8.503	17.537	258.966	2.604
47.859	9.495	3.257	206.919	17.596	9.741	17.008	258.966	2.609
48.34	9.495	3.387	206.92	17.596	10.345	16.75	258.966	2.611
48.34	9.495	3.45	206.92	17.596	10.345	16.75	251.254	2.611
41.671	9.925	3.478	206.92	20.393	10.984	16.75	247.487	2.611
56.409	8.598	2.6	218.107	3.156	5.918	30.385	337.111	2.482
56.409	8.598	2.6	218.107	3.156	5.918	29.808	301.9	2.482
49.584	8.598	2.6	216.451	3.156	5.918	29.808	274.295	2.482
44.234	8.598	2.6	215.152	3.156	5.918	25.715	274.295	2.482
44.234	6.064	2.6	215.152	3.156	5.918	22.505	274.295	2.482
44.234	6.064	2.802	215.126	3.156	5.918	22.505	274.295	2.482
42.285	6.064	2.836	215.106	3.616	5.918	20.795	261.169	2.512
40.757	6.064	2.836	215.106	3.977	7.33	19.454	250.879	2.536
40.757	6.064	2.836	215.101	3.977	8.436	19.454	250.879	2.536
40.757	0.721	2.836	215.097	5.73	12.463	19.454	250.879	2.536
40.757	0.721	2.836	215.097	7.104	15.62	19.454	229.837	2.536
40.757	0.721	2.836	215.105	7.104	17.576	19.454	213.342	2.536
40.757	0.721	3.406	215.111	7.474	19.109	19.454	213.358	2.536
40.757	0.721	3.502	215.111	7.765	19.109	19.454	213.372	2.536
33.795	0.721	3.502	215.101	7.765	19.109	19.454	213.372	2.605
28.337	14.997	3.502	215.093	9.066	23.201	19.454	213.372	2.659
28.337	14.997	3.61	215.093	10.086	26.408	19.454	213.372	2.659
28.337	14.997	3.628	215.099	10.086	26.408	19.454	214.989	2.564
27.788	14.997	3.628	215.104	10.818	23.557	19.454	216.257	2.489
27.357	14.997	3.628	215.104	11.392	21.321	19.454	216.257	2.489
27.357	14.997	3.628	215.104	11.392	21.321	19.454	229.782	2.489
27.357	14.997	3.465	215.104	11.392	19.386	19.454	240.384	2.489
27.441	14.997	3.438	215.104	12.591	17.869	19.454	240.384	2.489
38.543	11.559	3.88	202.854	67.668	36.096	11.367	217.835	2.653
33.383	11.559	3.88	202.854	60.924	29.585	11.367	223.426	2.641
30.862	11.559	3.88	202.854	57.63	26.405	11.618	226.156	2.634
30.862	11.559	3.696	202.854	57.63	26.405	11.741	226.156	2.634
30.862	11.559	3.607	202.854	57.63	26.405	11.741	226.156	2.634
30.862	13.818	3.607	202.854	40.619	17.837	11.741	231.287	2.621
37.116	13.818	3.502	202.854	32.312	13.652	11.741	233.793	2.614
40.17	13.818	3.45	202.734	32.312	13.652	12.389	233.793	2.614
40.17	13.818	3.45	202.676	34.527	16.419	12.706	228.804	2.614
40.17	13.818	3.45	202.676	35.609	17.77	12.706	226.368	2.614
37.555	13.818	3.352	202.676	35.609	17.469	12.706	226.368	2.614
36.279	13.818	3.304	202.676	32.437	17.322	12.222	226.368	2.628
36.279	13.818	3.401	202.676	30.888	17.322	11.986	226.368	2.635
36.279	17.125	3.448	202.676	29.568	19.663	11.986	226.368	2.635
46.47	10.217	4.079	210.08	44.489	19.393	13.378	238.966	2.63
46.47	10.217	3.88	210.08	42.806	19.393	13.378	238.966	2.63
46.47	10.217	3.783	210.011	42.14	19.393	13.378	238.966	2.63
46.47	10.217	3.72	209.978	42.14	19.393	13.791	238.966	2.63
46.47	10.217	3.688	209.978	40.199	18.128	13.992	240.71	2.631
46.47	11.277	3.688	209.978	39.252	17.51	13.992	241.562	2.631
46.47	11.277	3.707	209.777	39.252	17.51	13.992	241.562	2.631
43.026	11.277	3.715	209.679	39.252	17.51	13.992	241.562	2.631
41.344	11.277	3.715	209.679	39.252	17.51	13.992	241.562	2.631
41.344	10.902	3.715	209.679	39.252	17.51	14.162	241.562	2.631
41.344	10.902	3.785	209.002	42.605	16.031	14.245	242.847	2.631
41.694	12.076	3.82	208.671	44.242	15.309	14.245	243.475	2.644
41.865	12.076	3.82	208.671	44.242	15.309	14.245	243.475	2.65
39.005	12.076	3.849	208.671	44.242	15.309	12.838	241.54	2.65
37.609	12.076	3.863	208.55	50.368	21.668	12.15	240.595	2.65
37.609	12.076	3.863	208.491	53.359	24.774	12.15	240.595	2.65
37.609	13.282	3.863	208.491	53.359	24.774	12.15	240.595	2.656
37.609	13.282	3.989	208.17	53.359	24.774	11.658	234.91	2.659
37.609	13.282	4.063	207.923	58.067	27.9	11.418	232.133	2.659
42.471	10.551	4.272	217.825	44.362	51.556	10.339	208.147	2.601
43.208	8.462	4.344	217.795	36.977	36.368	10.564	217.624	2.593
42.631	6.373	4.354	217.75	36.781	33.993	10.745	220.198	2.599
